# El	 r	 dHdphi_overDelta_square_elements_list	 d2f01dphi2_abs_list	 dHdr_overDelta_square_matrix_elements_list	 df01dr_abs 
10000000.0	0.59	1.987812370905936e-05	464.8330722285806	5.885433286962764e-05	1195891439.4523904
10000000.0	0.61	2.0154648759437038e-05	379.56594640427795	5.2839057356464325e-05	1103829259.9817755
10000000.0	0.63	2.0409162145583704e-05	307.7256915405634	4.713926648196927e-05	1017303042.6431301
10000000.0	0.65	2.0643029356664027e-05	247.38139999625193	4.1777602047185526e-05	935954543.4430053
10000000.0	0.67	2.0857515625807504e-05	196.9339305873552	3.67479982247246e-05	859379040.4743773
10000000.0	0.6900000000000001	2.1053802229419166e-05	155.0856735386587	3.206471582862609e-05	787308987.7506833
10000000.0	0.7100000000000001	2.123298684636098e-05	120.49039603288134	2.775715789760782e-05	719548684.0317663
10000000.0	0.73	2.139607772305517e-05	92.0271220380439	2.378386096604305e-05	655556015.962194
10000000.0	0.75	2.154401881651416e-05	69.03881833286671	2.012479602184172e-05	594909359.9991052
10000000.0	0.77	2.1677660030617075e-05	50.697751973512446	1.6840243089028912e-05	537658250.7142414
10000000.0	0.79	2.1797721760988464e-05	36.07763156237235	1.3895325796346317e-05	483216252.9588987
10000000.0	0.81	2.1904870620135415e-05	24.781572552745434	1.1214805004253938e-05	430659161.70133626
10000000.0	0.8300000000000001	2.1999710237496434e-05	16.416887736964654	8.858916923066907e-06	380207820.53089714
10000000.0	0.85	2.2082676396570772e-05	10.267395103908274	6.842984195657214e-06	331793644.8460005
10000000.0	0.87	2.215413482208708e-05	5.91874899685892	5.075268001002869e-06	284146076.29589003
10000000.0	0.89	2.2214479666646224e-05	3.1357359333891477	3.5710560824172346e-06	237291364.90173528
10000000.0	0.91	2.2264011515981706e-05	1.4677723900500972	2.3714215058455543e-06	192031072.20902616
10000000.0	0.93	2.230295796523826e-05	0.5450161658212097	1.4226992299689701e-06	147514405.53082436
10000000.0	0.9500000000000001	2.2331628025028355e-05	0.14296960991208746	7.10361919681837e-07	103480796.12149116
10000000.0	0.97	2.2350376428868732e-05	0.02007951647614696	2.523497320561542e-07	60950305.40319078
10000000.0	0.99	2.235955395288038e-05	0.0002800473952291284	2.810552645094199e-08	20293125.774658024
11898416.954165636	0.01	1.8742752777433817e-09	10906.632015695503	1.771929872705753e-05	173130104.8537262
11898416.954165636	0.03	1.2316741160388622e-08	17790.809338645962	8.67664791100422e-06	355927066.2400122
11898416.954165636	0.05	5.1501933115466594e-08	23837.528447977	9.954383274962125e-06	744923336.1809736
11898416.954165636	0.06999999999999999	1.8652266205692726e-07	29797.490130537557	1.708845982761389e-05	1404373839.8100495
11898416.954165636	0.09	5.608194865589064e-07	35723.01765379282	3.1993682440262954e-05	2378089549.0416746
11898416.954165636	0.11	1.3601643452646225e-06	39378.00401387057	5.591205550735472e-05	3516181379.9509697
11898416.954165636	0.13	2.653923315521817e-06	38566.43214222071	8.575156558225198e-05	4520215596.619105
11898416.954165636	0.15000000000000002	4.302920401425396e-06	33943.095800168856	0.00011548610462143685	5159112937.824792
11898416.954165636	0.17	6.090470193506035e-06	27894.106656007174	0.00014072574605380412	5411893188.799615
11898416.954165636	0.19	7.862926164752487e-06	22166.85138596062	0.00016009046255419739	5384754737.420382
11898416.954165636	0.21000000000000002	9.547373152620208e-06	17408.170398581933	0.0001738818958463101	5193325404.320803
11898416.954165636	0.23	1.1118900970877836e-05	13661.02792570439	0.00018291323833195575	4919802865.1004
11898416.954165636	0.25	1.2574192701678401e-05	10765.790072075604	0.00018801592076226508	4613755907.32537
11898416.954165636	0.27	1.391831259260855e-05	8535.27387617402	0.0001898915395166953	4302556636.365507
11898416.954165636	0.29000000000000004	1.5159093083933221e-05	6809.641827232785	0.0001891236834580416	4000372225.868681
11898416.954165636	0.31	1.6304904656607518e-05	5465.107155956492	0.00018621269514721597	3713995936.5838494
11898416.954165636	0.33	1.7363796441778433e-05	4409.036813225748	0.00018157721652298887	3446117772.7313023
11898416.954165636	0.35000000000000003	1.8343181766896e-05	3572.882646945567	0.00017556898935758373	3197190540.7443457
11898416.954165636	0.37	1.924976326849378e-05	2905.8761181830873	0.000168494346894057	2966608782.9759965
11898416.954165636	0.39	2.0089564517541003e-05	2370.213476350743	0.0001606123948922582	2753292851.9180446
11898416.954165636	0.41000000000000003	2.086798034537472e-05	1937.527050190108	0.000152144032034708	2555897408.4882584
11898416.954165636	0.43	2.158982293940475e-05	1586.2027938008034	0.0001432868290277154	2373018389.8164344
11898416.954165636	0.45	2.2259393385592854e-05	1299.612698924127	0.0001342012427786347	2203365828.199954
11898416.954165636	0.47000000000000003	2.288056386068084e-05	1065.011901684552	0.00012501328758701002	2045743931.1487672
11898416.954165636	0.49	2.345681739207176e-05	872.4714534264293	0.00011584538683745587	1899010505.7542937
11898416.954165636	0.51	2.399127068129897e-05	714.0170876450671	0.00010680465646183147	1762144242.1442966
11898416.954165636	0.53	2.448673907967737e-05	583.3263570637969	9.795783923212426e-05	1634268200.4470658
11898416.954165636	0.55	2.494579667099801e-05	475.4719005951815	8.936303364606318e-05	1514583425.0029206
11898416.954165636	0.5700000000000001	2.5370773349584728e-05	386.4280923989143	8.10879359204494e-05	1402346425.9040449
11898416.954165636	0.59	2.5763763842696543e-05	312.8393075234024	7.317417053416048e-05	1296911062.3250136
