# El	 r	 phi_matrix_elements_list	 d2E01dphi2_list
56210501.753104344	0.11101694915254237	4709834.408477692	12658770.457125187
56210501.753104344	0.12627118644067797	4702864.036437038	12066030.621879578
56210501.753104344	0.14152542372881355	4695753.14940344	11458819.994290352
56210501.753104344	0.15677966101694915	4688614.539813264	10846211.683573723
56210501.753104344	0.17203389830508475	4681537.6865585605	10235547.30805111
56210501.753104344	0.18728813559322033	4674592.14534807	9632691.394104958
56210501.753104344	0.2025423728813559	4667830.898850828	9042231.33185482
56210501.753104344	0.21779661016949153	4661293.376683849	8467714.9884696
56210501.753104344	0.2330508474576271	4655008.046708174	7911825.442611694
56210501.753104344	0.24830508474576268	4648994.576516081	7376509.78111124
56210501.753104344	0.2635593220338983	4643265.606980865	6863146.328668594
56210501.753104344	0.2788135593220339	4637828.193879965	6372639.74617815
56210501.753104344	0.29406779661016946	4632684.973782132	5905489.602795124
56210501.753104344	0.30932203389830504	4627835.104663849	5461897.745540857
56210501.753104344	0.32457627118644067	4623275.024157262	5041807.54267621
56210501.753104344	0.33983050847457624	4618999.0608261	4644965.590954542
56210501.753104344	0.3550847457627118	4614999.927190871	4270952.19604826
56210501.753104344	0.37033898305084745	4611269.117594675	3919237.2175118923
56210501.753104344	0.385593220338983	4607797.229395551	3589186.7710449696
56210501.753104344	0.4008474576271186	4604574.222260283	3280086.1309435368
56210501.753104344	0.4161016949152542	4601589.627374919	2991189.669229269
56210501.753104344	0.4313559322033898	4598832.716033976	2721694.326865077
56210501.753104344	0.4466101694915254	4596292.635203358	2470790.440187931
56210501.753104344	0.46186440677966095	4593958.516170814	2237642.198941231
56210501.753104344	0.4771186440677966	4591819.561219015	2021418.5482269526
56210501.753104344	0.49237288135593216	4589865.112318118	1821296.296831727
56210501.753104344	0.5076271186440677	4588084.70508451	1636444.0965042114
56210501.753104344	0.5228813559322034	4586468.110651378	1466060.6832252145
56210501.753104344	0.538135593220339	4585005.367613632	1309358.65468359
56210501.753104344	0.5533898305084746	4583686.805820034	1165565.9026817083
56210501.753104344	0.5686440677966101	4582503.063469861	1033929.3253567815
56210501.753104344	0.5838983050847457	4581445.098715551	913733.8041829467
56210501.753104344	0.5991525423728814	4580504.19676399	804268.5165696442
56210501.753104344	0.614406779661017	4579671.973298978	704868.941645652
56210501.753104344	0.6296610169491526	4578940.374906877	614881.3507595658
56210501.753104344	0.6449152542372881	4578301.677073525	533673.0077188611
56210501.753104344	0.6601694915254237	4577748.480224375	460660.7272682488
56210501.753104344	0.6754237288135593	4577273.704202144	395254.41719417274
56210501.753104344	0.690677966101695	4576870.581510628	336921.23484252393
56210501.753104344	0.7059322033898305	4576532.649598932	285126.7378117889
56210501.753104344	0.7211864406779661	4576253.74241529	239370.78904607892
56210501.753104344	0.7364406779661017	4576027.9814212695	199174.52714318782
56210501.753104344	0.7516949152542373	4575849.766225679	164089.4898255244
56210501.753104344	0.7669491525423728	4575713.764970653	133669.95400342345
56210501.753104344	0.7822033898305085	4575614.904579351	107514.10463123024
56210501.753104344	0.7974576271186441	4575548.360956357	85221.59111372009
56210501.753104344	0.8127118644067797	4575509.549215404	66423.2026305534
56210501.753104344	0.8279661016949152	4575494.113995283	50754.3486496117
56210501.753104344	0.8432203389830508	4575497.919913894	37889.16478250548
56210501.753104344	0.8584745762711864	4575517.042199879	27499.67046047002
56210501.753104344	0.873728813559322	4575547.757533727	19283.82102157455
56210501.753104344	0.8889830508474577	4575586.535122942	12948.419915108941
56210501.753104344	0.9042372881355932	4575630.028029785	8221.071254450362
56210501.753104344	0.9194915254237288	4575675.064765828	4841.624460700899
56210501.753104344	0.9347457627118644	4575718.641162521	2570.529700668296
56210501.753104344	0.95	4575757.9125241535	1164.5558148088749
63192410.14671489	0.05	5307613.91658263	19064162.866801262
