# El	 r	 phi_matrix_elements_list	 d2E01dphi2_list
11898416.954165636	0.87	1.0492652607969157e-09	5.254742549274092e-13
11898416.954165636	0.89	1.057947934595346e-09	2.843710713555629e-13
11898416.954165636	0.91	1.0650791953835014e-09	1.3452304127729326e-13
11898416.954165636	0.93	1.070700482140554e-09	4.98247940931136e-14
11898416.954165636	0.9500000000000001	1.0748532787972097e-09	1.323146225697856e-14
11898416.954165636	0.97	1.0775803237666485e-09	1.9434673001594695e-15
11898416.954165636	0.99	1.0789245690924062e-09	2.841646331918674e-17
14157232.601517623	0.01	2.7915708446025604e-19	2.13810831336239e-11
14157232.601517623	0.03	3.933611508527224e-17	2.1566921302346403e-10
14157232.601517623	0.05	1.128334856139495e-15	7.086449219275266e-11
14157232.601517623	0.06999999999999999	1.5719498849996294e-14	4.671527200775902e-11
14157232.601517623	0.09	1.361215195310559e-13	6.856935516939418e-11
14157232.601517623	0.11	7.813949710135159e-13	1.108043210979286e-10
14157232.601517623	0.13	3.0916117012745546e-12	1.568014137387649e-10
14157232.601517623	0.15000000000000002	8.950090025435071e-12	1.9392406716328394e-10
14157232.601517623	0.17	2.0353479277460932e-11	2.164853054519156e-10
14157232.601517623	0.19	3.873427346437972e-11	2.2438772588888946e-10
14157232.601517623	0.21000000000000002	6.472886603326229e-11	2.2044156579560215e-10
14157232.601517623	0.23	9.828908773103077e-11	2.082804742131889e-10
14157232.601517623	0.25	1.388984450271245e-10	1.9121685412202873e-10
14157232.601517623	0.27	1.8576870409500787e-10	1.7181958169498667e-10
14157232.601517623	0.29000000000000004	2.3798358197998006e-10	1.5190060790170561e-10
14157232.601517623	0.31	2.945934469796337e-10	1.326329912961148e-10
14157232.601517623	0.33	3.5467392335280163e-10	1.1469499575732942e-10
14157232.601517623	0.35000000000000003	4.173590144427104e-10	9.842209543536052e-11
14157232.601517623	0.37	4.818569513582871e-10	8.393261093722704e-11
14157232.601517623	0.39	5.474564125249724e-10	7.120755713263288e-11
14157232.601517623	0.41000000000000003	6.135274680330788e-10	6.014477475911493e-11
14157232.601517623	0.43	6.795180282881151e-10	5.0601557353001445e-11
14157232.601517623	0.45	7.449477488666486e-10	4.242029218092345e-11
14157232.601517623	0.47000000000000003	8.094023755899586e-10	3.5441008085271816e-11
14157232.601517623	0.49	8.725282333141437e-10	2.9511663253833664e-11
14157232.601517623	0.51	9.340254492149838e-10	2.449301463925098e-11
14157232.601517623	0.53	9.936414919707813e-10	2.0257613554242816e-11
14157232.601517623	0.55	1.0511664939598543e-09	1.6691866278737575e-11
14157232.601517623	0.5700000000000001	1.1064287438160293e-09	1.3698866804292546e-11
14157232.601517623	0.59	1.1592894555613893e-09	1.119362598354414e-11
14157232.601517623	0.61	1.209638479187212e-09	9.099874699245322e-12
14157232.601517623	0.63	1.2573914144598043e-09	7.353194707601512e-12
14157232.601517623	0.65	1.3024865063393598e-09	5.901598811738605e-12
14157232.601517623	0.67	1.344881089657821e-09	4.6988497811248926e-12
14157232.601517623	0.6900000000000001	1.384549035774996e-09	3.70340132952175e-12
14157232.601517623	0.7100000000000001	1.4214791523733566e-09	2.8830010939173055e-12
14157232.601517623	0.73	1.4556730844540662e-09	2.212577524599484e-12
14157232.601517623	0.75	1.4871429310650045e-09	1.66828643927469e-12
14157232.601517623	0.77	1.5159099363675393e-09	1.2291707086849815e-12
