El,r,dHdphiext_over_Delta_sqr,d2E01dphi2_Hz,dHdr_over_Delta_sqr,f01_derivative_Hz
14157232.601517623,0.8300000000000001,3.705438722193072e-05,26435.97986280303,0.0,432119262.0484448
14157232.601517623,0.85,3.719597672980393e-05,20953.728980624794,0.0,373808808.0128388
14157232.601517623,0.87,3.7317394029335576e-05,16046.229097032056,0.0,317814982.5813422
14157232.601517623,0.89,3.741946583124721e-05,11626.336992401437,0.0,264035563.31403136
14157232.601517623,0.91,3.7502953681601376e-05,7981.005403184399,0.0,212328712.2263816
14157232.601517623,0.93,3.756855974279058e-05,4836.288924069749,0.0,162432668.41951743
14157232.601517623,0.9500000000000001,3.761694017276696e-05,2559.863414961038,0.0,114193143.42618297
14157232.601517623,0.97,3.764868875905058e-05,999.2147229381444,0.0,67507564.60726161
14157232.601517623,0.99,3.766433102751207e-05,60.435422917002256,0.0,22282863.48004563
16844865.640996374,0.01,9.213246414183645e-09,4901002.89620075,0.0,282669062.6907908
16844865.640996374,0.03,9.724179260587363e-08,1454808.5006241947,0.0,857884147.8919286
16844865.640996374,0.05,3.547036988068572e-07,541779.0498930155,0.0,1633125178.4602249
16844865.640996374,0.06999999999999999,9.523397024072385e-07,1244446.4963735996,0.0,2615701348.8712964
16844865.640996374,0.09,2.1012139382595777e-06,1361623.7542063917,0.0,3726215547.3618436
16844865.640996374,0.11,3.90636105192567e-06,1250486.0076707664,0.0,4756617209.877116
16844865.640996374,0.13,6.259117471104307e-06,1073225.3040235068,0.0,5512336500.7518015
16844865.640996374,0.15000000000000002,8.918391362938774e-06,899608.2925304923,0.0,5924509601.29225
16844865.640996374,0.17,1.1662816809271124e-05,751469.3515816915,0.0,6040984819.762074
16844865.640996374,0.19,1.4354633630989715e-05,629488.5935242642,0.0,5951319277.247045
16844865.640996374,0.21000000000000002,1.6926379827786628e-05,529220.0304798244,0.0,5736500452.936473
16844865.640996374,0.23,1.935143501585409e-05,448094.50562467286,0.0,5454512117.00729
16844865.640996374,0.25,2.1623391898285568e-05,381348.97123907035,0.0,5142626708.01831
16844865.640996374,0.27,2.3745103858754537e-05,326144.5379748787,0.0,4823337634.852435
16844865.640996374,0.29000000000000004,2.572339623245798e-05,280116.324572219,0.0,4509491154.517944
