El,r,Fidelidad
14157232.601517623,0.5700000000000001,(0.2134581070496746-8.65416837441845e-07j)
14157232.601517623,0.59,(0.24092629867854043-7.926961203029426e-06j)
14157232.601517623,0.61,(0.2699010439434637+1.8556397672535182e-06j)
14157232.601517623,0.63,(0.2995792852672463-2.3846093081606833e-06j)
14157232.601517623,0.65,(0.3288825529790228+6.351441678415858e-07j)
14157232.601517623,0.67,(0.356469825409391+8.471237387740547e-07j)
14157232.601517623,0.6900000000000001,(0.38077466197443705-5.477934221110924e-07j)
14157232.601517623,0.7100000000000001,(0.40010766926766883+1.8933403763191233e-06j)
14157232.601517623,0.73,(0.41273182732447683+2.9754143325353674e-06j)
14157232.601517623,0.75,(0.4170564249980058-4.99637213998555e-07j)
14157232.601517623,0.77,(0.41177459393156923-1.2375961924757475e-06j)
14157232.601517623,0.79,(0.39609405768417294+4.30106038435227e-06j)
14157232.601517623,0.81,(0.369881999871262-5.674412548279192e-07j)
14157232.601517623,0.8300000000000001,(0.33379574711025756+4.7043731155289097e-07j)
14157232.601517623,0.85,(0.28936348766359304+9.329011067594389e-07j)
14157232.601517623,0.87,(0.23895950466423518+1.819729480729194e-06j)
14157232.601517623,0.89,(0.18568064191799158-2.444807389143921e-06j)
14157232.601517623,0.91,(0.13312398169673256+4.926102989466537e-06j)
14157232.601517623,0.93,(0.08509806633609948+7.139863280246482e-06j)
14157232.601517623,0.9500000000000001,(0.04526453293038258+5.678095157477202e-06j)
14157232.601517623,0.97,(0.01675458533069556-9.099481884258509e-07j)
14157232.601517623,0.99,(0.0018893675471048114+1.2819437506995027e-06j)
16844865.640996374,0.01,(0.5973391004666321+1.6865216200923618e-05j)
16844865.640996374,0.03,(0.5832160393227087+8.559871083567396e-06j)
16844865.640996374,0.05,(0.5542452895110807-2.334741932272568e-06j)
16844865.640996374,0.06999999999999999,(0.5100986989044825-1.30819128057694e-06j)
16844865.640996374,0.09,(0.4532406023311946+4.208654921733245e-06j)
16844865.640996374,0.11,(0.3903029819567494+8.124971341788845e-07j)
16844865.640996374,0.13,(0.32963029474775146+5.6304730158691504e-06j)
16844865.640996374,0.15000000000000002,(0.2768266653999127+3.137973719271178e-06j)
16844865.640996374,0.17,(0.2334619800296728+2.0333386586903974e-06j)
16844865.640996374,0.19,(0.1986302346054081+4.953101238075244e-06j)
16844865.640996374,0.21000000000000002,(0.17063943122892977+1.8073828713349806e-06j)
16844865.640996374,0.23,(0.14790743537454681+4.567582752988615e-06j)
16844865.640996374,0.25,(0.12916684678597198+3.3970043173288878e-06j)
16844865.640996374,0.27,(0.11348320355644743-1.678841542689023e-06j)
16844865.640996374,0.29000000000000004,(0.10017568975158685-1.7617902468773857e-06j)
16844865.640996374,0.31,(0.0887517881518468-2.488499496632069e-07j)
