# El	 r	 dHdphiext_over_Delta_sqr	 d2f01dphi2_GHz	 dHdr_over_Delta_sqr	 df01dr_GHz 
11898416.954165636	0.15000000000000002	4.302920401425396e-06	3684.730427055356	0.00011548610462143685	5.159112937824792
11898416.954165636	0.17	6.090470193506035e-06	3340.3057737882127	0.00014072574605380412	5.411893188799615
11898416.954165636	0.19	7.862926164752487e-06	2977.70726472302	0.00016009046255419739	5.384754737420382
11898416.954165636	0.21000000000000002	9.547373152620205e-06	2638.800515278253	0.0001738818958463101	5.193325404320803
11898416.954165636	0.23	1.1118900970877836e-05	2337.6080018432854	0.00018291323833195575	4.9198028651004
11898416.954165636	0.25	1.2574192701678401e-05	2075.1665062905777	0.00018801592076226508	4.61375590732537
11898416.954165636	0.27	1.391831259260855e-05	1847.7309193899441	0.0001898915395166953	4.302556636365507
11898416.954165636	0.29000000000000004	1.5159093083933221e-05	1650.411079365718	0.0001891236834580416	4.000372225868682
11898416.954165636	0.31	1.6304904656607518e-05	1478.527261291653	0.00018621269514721597	3.7139959365838497
11898416.954165636	0.33	1.7363796441778433e-05	1328.0115682065045	0.00018157721652298887	3.4461177727313026
11898416.954165636	0.35000000000000003	1.8343181766896e-05	1195.4718979458391	0.00017556898935758373	3.1971905407443457
11898416.954165636	0.37	1.924976326849378e-05	1078.123576995344	0.000168494346894057	2.966608782975997
11898416.954165636	0.39	2.0089564517541003e-05	973.6967651893978	0.0001606123948922582	2.7532928519180446
11898416.954165636	0.41000000000000003	2.086798034537472e-05	880.3469884517373	0.000152144032034708	2.5558974084882586
11898416.954165636	0.43	2.158982293940475e-05	796.5432301641396	0.0001432868290277154	2.3730183898164343
11898416.954165636	0.45	2.2259393385592854e-05	721.0028290996165	0.0001342012427786347	2.203365828199954
11898416.954165636	0.47000000000000003	2.2880563860680835e-05	652.6904018551375	0.00012501328758701002	2.0457439311487673
11898416.954165636	0.49	2.345681739207176e-05	590.7525551113357	0.00011584538683745587	1.8990105057542939
11898416.954165636	0.51	2.3991270681298964e-05	534.4219634876798	0.00010680465646183147	1.7621442421442968
11898416.954165636	0.53	2.448673907967737e-05	483.04300308100807	9.795783923212426e-05	1.6342682004470659
11898416.954165636	0.55	2.4945796670998003e-05	436.10636344597475	8.936303364606318e-05	1.5145834250029206
11898416.954165636	0.5700000000000001	2.5370773349584718e-05	393.1554870017278	8.10879359204494e-05	1.402346425904045
11898416.954165636	0.59	2.5763763842696543e-05	353.74527984039725	7.317417053416048e-05	1.2969110623250137
11898416.954165636	0.61	2.612669575544215e-05	317.51751768579663	6.56396101723243e-05	1.1977318876474417
11898416.954165636	0.63	2.646135776821041e-05	284.18477750886694	5.851262949450656e-05	1.1042974810968071
11898416.954165636	0.65	2.6769367346877273e-05	253.46117320885875	5.1815833658488465e-05	1.0161083226956638
