# El	 r	 dHdphi_overDelta_square_elements_list	 d2f01dphi2_abs_list	 dHdr_overDelta_square_matrix_elements_list	 df01dr_abs 
11898416.954165636	0.29000000000000004	5.6035567747837995e-06	73273.66552061362	8.992466155957175e-05	2586367760.905949
11898416.954165636	0.31	5.753773852704737e-06	59893.52005956652	7.795467487051118e-05	2396202221.4416494
11898416.954165636	0.33	5.890794967037026e-06	49152.14962323669	6.803724661869611e-05	2222932026.931856
11898416.954165636	0.35000000000000003	6.01605653628254e-06	40457.47058158768	5.963902447860097e-05	2063466676.7581902
11898416.954165636	0.37	6.130759008930806e-06	33375.71955115847	5.2456439551056327e-05	1916108508.1952338
11898416.954165636	0.39	6.235933969335679e-06	27574.84897028863	4.630083295654213e-05	1780360015.8530297
11898416.954165636	0.41000000000000003	6.332467566345765e-06	22799.307209889295	4.0955008155506256e-05	1654530470.244443
11898416.954165636	0.43	6.421096067884832e-06	18853.894757719612	3.6263480913074244e-05	1536700243.104886
11898416.954165636	0.45	6.502456671629948e-06	15585.08325691038	3.214246714886707e-05	1426690994.550296
11898416.954165636	0.47000000000000003	6.5771615616808986e-06	12870.840326679348	2.8494585621071803e-05	1324479834.36218
11898416.954165636	0.49	6.6457604601103405e-06	10614.214935208385	2.525079609048427e-05	1228757506.1040928
11898416.954165636	0.51	6.708679830615725e-06	8735.339457540427	2.2380769890286542e-05	1138632472.4161398
11898416.954165636	0.53	6.766314804191439e-06	7169.1906179486405	1.9817371268073976e-05	1054384476.6732061
11898416.954165636	0.55	6.819108226795121e-06	5864.918265456267	1.7503890922804655e-05	975820981.0415584
11898416.954165636	0.5700000000000001	6.8674342756860726e-06	4779.789274578226	1.5445957100176815e-05	901983283.5355549
11898416.954165636	0.59	6.911550155837132e-06	3876.4224995943587	1.3621271312400457e-05	832570630.5655146
11898416.954165636	0.61	6.951755063455722e-06	3125.3689991332167	1.1968004319568535e-05	767928167.8977712
11898416.954165636	0.63	6.988407961529145e-06	2503.367011255186	1.0476859240140889e-05	707695403.4975408
11898416.954165636	0.65	7.021754975921758e-06	1989.4971685373687	9.15634224083523e-06	650959139.4015057
11898416.954165636	0.67	7.051963304090054e-06	1565.926601006551	7.972690708261712e-06	597717118.713251
11898416.954165636	0.6900000000000001	7.0792925549827615e-06	1218.659191014678	6.90339966029789e-06	548464272.9387852
11898416.954165636	0.7100000000000001	7.1040146829891665e-06	935.771082777972	5.948642247369503e-06	502425045.1838427
11898416.954165636	0.73	7.126280188234299e-06	707.1478553485844	5.08854849524251e-06	458564752.50508654
11898416.954165636	0.75	7.146236388021837e-06	524.4160978846646	4.314817264581502e-06	417569562.93088806
11898416.954165636	0.77	7.16410704932516e-06	379.91403951989327	3.633624253923313e-06	379783522.0912442
11898416.954165636	0.79	7.180062842085881e-06	267.31229139945333	3.0168592001944594e-06	343425809.2246869
11898416.954165636	0.81	7.194204986975892e-06	181.87520616342084	2.4508172583671236e-06	307980436.2197004
11898416.954165636	0.8300000000000001	7.206669080830481e-06	118.7514532416714	1.96319176794706e-06	275009758.5391797
11898416.954165636	0.85	7.217587423612779e-06	73.20839669037858	1.5424802184732897e-06	243546338.22915906
11898416.954165636	0.87	7.227033952203266e-06	41.94898670765671	1.1543492014472683e-06	211251038.54838338
11898416.954165636	0.89	7.23507699783694e-06	22.009370397559483	8.21428514426274e-07	179307391.715795
11898416.954165636	0.91	7.241769331555322e-06	10.11338283925408	5.603689070961861e-07	148818101.44268376
11898416.954165636	0.93	7.247119475654978e-06	3.7329465649209657	3.428706899983477e-07	117104777.51385066
11898416.954165636	0.9500000000000001	7.251140732712037e-06	0.9839308315368378	1.7094743567532141e-07	83715886.90164748
11898416.954165636	0.97	7.253839953246339e-06	0.13640440129322973	6.204151302626713e-08	50598931.5953345
11898416.954165636	0.99	7.2551894344800974e-06	0.0018720644277169967	7.3919916967968985e-09	18127144.477635577
14157232.601517623	0.01	1.7485097790996333e-08	2690955.531132473	0.001854421490669127	422730551.5334961
14157232.601517623	0.03	4.4805865232966605e-07	4703110.705121751	0.004332390202757816	5331657864.01139
