phi,wfunc0_up_sqr,wfunc0_down_sqr,wfunc1_up_sqr,wfunc1_down_sqr
-4.6653306613226455,2.9555481321937863e-05,1.2484452229510444e-05,0.0002691216876831335,0.0014625693266562302
-4.6332665330661325,3.136390784573752e-05,1.4423467401458582e-05,0.00029363322122213513,0.0015672822621674875
-4.601202404809619,3.328563132151615e-05,1.6532035478814917e-05,0.00032009478528842445,0.0016742930833817276
-4.569138276553106,3.5328585586461474e-05,1.8797294017820124e-05,0.000348575351271436,0.0017830742707095875
-4.537074148296593,3.750318496823784e-05,2.120151549579652e-05,0.000379145540841059,0.0018930458530685913
-4.50501002004008,3.982284708787514e-05,2.37222932116961e-05,0.0004118801661837304,0.0020035789155236606
-4.472945891783567,4.230456889068629e-05,2.6332918001729932e-05,0.0004468613701039458,0.002114000022540518
-4.440881763527054,4.4969561130653555e-05,2.9002939525187668e-05,0.00048418237294025723,0.002223596536207218
-4.408817635270541,4.7843949087526684e-05,3.1698897434889627e-05,0.0005239518238359412,0.002331622791162793
-4.376753507014029,5.095955023951956e-05,3.438519973620032e-05,0.0005662987466539933,0.0024373070702721797
-4.344689378757515,5.4354742828593783e-05,3.702511844357246e-05,0.0006113780663123727,0.0025398593077121017
-4.312625250501002,5.807544255790149e-05,3.958186666187849e-05,0.0006593766999966576,0.002638479429453172
-4.280561122244489,6.217620786090695e-05,4.201971676729503e-05,0.0007105201997260105,0.002732366225559463
-4.248496993987976,6.672149702933513e-05,4.4305116717227704e-05,0.0007650799380818188,0.0028207266346281365
-4.216432865731464,7.178710273537752e-05,4.6407760866857744e-05,0.0008233808372188506,0.0029027853084501775
-4.18436873747495,7.746179085442368e-05,4.830157309947614e-05,0.0008858096518949903,0.0029777943148892715
-4.1523046092184375,8.384917071581083e-05,4.996556358961649e-05,0.000952823829266155,0.0030450428293593507
-4.120240480961924,9.106982271786461e-05,5.138452599997621e-05,0.0010249609803921705,0.0031038666603614385
-4.0881763527054105,9.926370639777285e-05,5.2549549147824315e-05,0.0011028490093103966,0.003153657452508008
-4.056112224448898,0.00010859286734254206,5.345832586050093e-05,0.0011872169535413308,0.0031938714114399924
-4.024048096192385,0.00011924445461188806,5.411525147450134e-05,0.0012789065932291381,0.0032240373990893357
-3.991983967935872,0.00013143405152488537,5.4531314762820046e-05,0.0013788848830089484,0.003243764254845591
-3.9599198396793587,0.00014540931172321074,5.472379448906858e-05,0.001488257249429996,0.003252747208270491
-3.927855711422846,0.00016145387943167927,5.471578475438649e-05,0.0016082817757603145,0.0032507732619209786
-3.895791583166333,0.00017989155794847394,5.453558130172751e-05,0.0017403842640560723,0.0032377254383714298
-3.8637274549098195,0.00020109067386691386,5.421596846559594e-05,0.0018861741205517272,0.0032135858033913874
-3.831663326653307,0.0002254685667045008,5.379345206887083e-05,0.002047460954372856,0.0031784371971022092
-3.799599198396794,0.0002534961149376714,5.3307486907075304e-05,0.0022262717114447115,0.0031324636264136968
-3.7675350701402808,0.00028570219044089654,5.279974826833609e-05,0.002424868086133986,0.0030759492947105005
-3.7354709418837677,0.00032267791461163946,5.2313495071694745e-05,0.0026457638641055677,0.003009276268151961
-3.703406813627255,0.0003650805717008626,5.189306766735793e-05,0.0028917417533842727,0.002932920801592925
-3.6713426853707416,0.000413637018776628,5.1583556255114524e-05,0.003165869159622828,0.002847448370539785
-3.6392785571142285,0.00046914641806487925,5.143066651533253e-05,0.0034715122597109667,0.002753507478231128
-3.607214428857716,0.0005324821068877355,5.1480797809504165e-05,0.0038123476293567197,0.002651822328414085
-3.5751503006012024,0.0006045924137662726,5.1781336705424214e-05,0.004192370589775657,0.00254318447421387
-3.54308617234469,0.0006865002271572006,5.2381155233487914e-05,0.0046158993612600676,0.002428443571265782
-3.5110220440881763,0.0007793011263360292,5.333128985324488e-05,0.005087574052273959,0.0023084973786160526
-3.4789579158316637,0.0008841598926293258,5.4685764325945724e-05,0.005612349477085942,0.002184281163496129
-3.4468937875751506,0.0010023052338999597,5.6502508262099924e-05,0.006195480787718474,0.0020567566756764678
-3.414829659318637,0.0011350225761236174,5.8844313726959804e-05,0.006842500931613393,0.0019269008635274234
