El,r,Fidelidad
10000000.0,0.5913559322033898,(0.17067060328880643+2.3052887555108584e-05j)
10000000.0,0.6079661016949152,(0.1944549328455182+3.3610730102985195e-05j)
10000000.0,0.6245762711864407,(0.22006470204870887+3.858850904122802e-05j)
10000000.0,0.641186440677966,(0.24711092696252726+4.8087316283145394e-05j)
10000000.0,0.6577966101694914,(0.27499886814427976+4.64889409564586e-05j)
10000000.0,0.6744067796610169,(0.30293506504623363+4.465820133660709e-05j)
10000000.0,0.6910169491525423,(0.32993732894168815+4.7395803088140344e-05j)
10000000.0,0.7076271186440677,(0.354874445863073+6.0357022608542336e-05j)
10000000.0,0.7242372881355932,(0.3764693351464009+5.9337685255864494e-05j)
10000000.0,0.7408474576271186,(0.39339222483110947+5.085933478333013e-05j)
10000000.0,0.757457627118644,(0.4043194634916083+5.9016756332955445e-05j)
10000000.0,0.7740677966101694,(0.40807691277763913+6.563845903678105e-05j)
10000000.0,0.7906779661016948,(0.4036995889106298+6.0271769911819804e-05j)
10000000.0,0.8072881355932202,(0.3906379126623028+6.06118993111598e-05j)
10000000.0,0.8238983050847457,(0.36874079847852226+6.438600754995472e-05j)
10000000.0,0.8405084745762711,(0.3384570136911374+6.555125078718008e-05j)
10000000.0,0.8571186440677966,(0.3008161022040848+6.117473141683172e-05j)
10000000.0,0.873728813559322,(0.257434685021576+5.394638391664413e-05j)
10000000.0,0.8903389830508474,(0.21045822111926957+4.4733553461684794e-05j)
10000000.0,0.9069491525423728,(0.1624552569620211+3.8748324254740296e-05j)
10000000.0,0.9235593220338982,(0.11622850335822198+3.303916152446818e-05j)
10000000.0,0.9401694915254236,(0.07464546155432633+1.77346829078838e-05j)
10000000.0,0.9567796610169491,(0.04037087324618368+1.2786159740543302e-05j)
10000000.0,0.9733898305084745,(0.015679012046678768-5.79071308480029e-06j)
10000000.0,0.99,(0.0022451939684995717-2.938219299740856e-06j)
11552990.250743236,0.01,(0.9928115641685992+3.8743446922817005e-06j)
11552990.250743236,0.02661016949152542,(0.9498549998505014+2.052816395585729e-06j)
11552990.250743236,0.043220338983050846,(0.8719112591065649-2.376782479633564e-06j)
11552990.250743236,0.059830508474576265,(0.7660537207364048+1.0388796949880817e-06j)
11552990.250743236,0.07644067796610168,(0.64185400283539-5.9181990638533316e-08j)
11552990.250743236,0.09305084745762711,(0.511394381972062+2.4117417815382526e-06j)
11552990.250743236,0.10966101694915252,(0.41271009577992523+1.0801304832467504e-06j)
11552990.250743236,0.12627118644067795,(0.35398011117103423+2.9625655279718837e-06j)
11552990.250743236,0.14288135593220339,(0.29932028586006243+8.305257537122312e-07j)
11552990.250743236,0.1594915254237288,(0.252506507903008-1.7052723015968633e-06j)
11552990.250743236,0.17610169491525424,(0.21426243779156937-1.1498403836874789e-07j)
11552990.250743236,0.19271186440677965,(0.18347102657380865-2.152714393151472e-06j)
11552990.250743236,0.20932203389830506,(0.15872504598161796-3.247318102073144e-06j)
11552990.250743236,0.2259322033898305,(0.13864074091517223+2.4364995401302198e-06j)
11552990.250743236,0.2425423728813559,(0.1220806847506442-1.8714587392049777e-06j)
11552990.250743236,0.2591525423728813,(0.10822231079304963-5.021089055785255e-06j)
11552990.250743236,0.27576271186440676,(0.09647301318594431-6.680566638866342e-06j)
11552990.250743236,0.2923728813559322,(0.08637559848849553-5.877281775565364e-06j)
11552990.250743236,0.3089830508474576,(0.07762111529321061-9.78673159167346e-06j)
11552990.250743236,0.325593220338983,(0.06993360378292628-1.7216352157401229e-06j)
11552990.250743236,0.34220338983050846,(0.0631487310944189-3.3134611935298105e-06j)
11552990.250743236,0.35881355932203385,(0.05712054020001933+1.8451017395752995e-06j)
