phi,wfunc0_up_,wfunc0_down,wfunc1_up,wfunc1_down
-7.811162232446489,1.2852134159811092e-05,0.0,0.0,1.4776422053164761e-05
-7.807961592318464,1.3124860264950682e-05,0.0,0.0,1.4841506748284733e-05
-7.804760952190438,1.3397345407643979e-05,0.0,0.0,1.4903312935910354e-05
-7.801560312062413,1.3669458242356608e-05,0.0,0.0,1.4961809443119829e-05
-7.798359671934387,1.3941066910583134e-05,0.0,0.0,1.5016966340213838e-05
-7.795159031806361,1.4212038565819263e-05,0.0,0.0,1.5068754198672231e-05
-7.791958391678335,1.4482241235166792e-05,0.0,0.0,1.5117146210295986e-05
-7.78875775155031,1.475154352779056e-05,0.0,0.0,1.5162116808403551e-05
-7.785557111422285,1.5019813990088532e-05,0.0,0.0,1.5203641997838192e-05
-7.782356471294259,1.528692053027373e-05,0.0,0.0,1.524169888744742e-05
-7.779155831166233,1.555273327012632e-05,0.0,0.0,1.5276267028266216e-05
-7.775955191038207,1.5817120537921845e-05,0.0,0.0,1.530732649798431e-05
-7.772754550910182,1.6079953103794374e-05,0.0,0.0,1.5334860156798435e-05
-7.7695539107821565,1.6341101441407322e-05,0.0,0.0,1.5358852124048217e-05
-7.766353270654131,1.660043664292547e-05,0.0,0.0,1.5379287380314667e-05
-7.763152630526105,1.6857830746278942e-05,0.0,0.0,1.539615371243499e-05
-7.759951990398079,1.7113155949619026e-05,0.0,0.0,1.5409439443165732e-05
-7.756751350270053,1.7366285688263766e-05,0.0,0.0,1.541913546408567e-05
-7.7535507101420285,1.7617095211842223e-05,0.0,0.0,1.5425234369816752e-05
-7.750350070014003,1.786545862096923e-05,0.0,0.0,1.5427729461846917e-05
-7.747149429885977,1.8111253433507958e-05,0.0,0.0,1.542661669051525e-05
-7.743948789757951,1.83543560173387e-05,0.0,0.0,1.5421893416679887e-05
-7.740748149629925,1.8594645286821324e-05,0.0,0.0,1.5413558363615916e-05
-7.7375475095019,1.8832000771259316e-05,0.0,0.0,1.5401612439440013e-05
-7.734346869373875,1.9066303736332865e-05,0.0,0.0,1.5386058115019143e-05
-7.731146229245849,1.9297436111773757e-05,0.0,0.0,1.5366899013301606e-05
-7.727945589117823,1.9525281641282202e-05,0.0,0.0,1.5344141589214976e-05
-7.724744948989797,1.9749725841799852e-05,0.0,0.0,1.531779314185026e-05
-7.721544308861772,1.9970654621651797e-05,0.0,0.0,1.5287862671399692e-05
-7.7183436687337466,2.01879571081219e-05,0.0,0.0,1.5254361521531005e-05
-7.715143028605721,2.040152211277716e-05,0.0,0.0,1.5217301931085933e-05
-7.711942388477695,2.061124155683322e-05,0.0,0.0,1.5176698328042761e-05
-7.708741748349669,2.081700904629603e-05,0.0,0.0,1.5132567189080715e-05
-7.705541108221643,2.1018718902660164e-05,0.0,0.0,1.5084925577919188e-05
-7.7023404680936185,2.121626877274889e-05,0.0,0.0,1.5033793426298364e-05
-7.699139827965593,2.1409556592088236e-05,0.0,0.0,1.4979191704153757e-05
-7.695939187837568,2.1598483532014716e-05,0.0,0.0,1.4921142899852211e-05
-7.692738547709543,2.1782951698347275e-05,0.0,0.0,1.4859671787120442e-05
-7.689537907581517,2.196286676111604e-05,0.0,0.0,1.4794804388462976e-05
