phi,wfunc0_up_sqr,wfunc0_down_sqr,wfunc1_up_sqr,wfunc1_down_sqr
-0.5931863727454912,1.6360506818084304e-08,0.060739748743014986,0.002852301212706085,0.05042194033879108
-0.5611222444889785,1.5086649166672064e-06,0.06414077710934676,0.0026687091939904583,0.05304038123472085
-0.5290581162324658,6.608622771008203e-06,0.06753637930163511,0.002503467762050107,0.055638970884093794
-0.49699398797595196,1.5208082030785048e-05,0.07090562496014627,0.0023553574411320968,0.058200442984629515
-0.4649298597194393,2.7209444575847812e-05,0.07422680031953464,0.0022232279331575694,0.06070699857293576
-0.43286573146292656,4.253350647139126e-05,0.07747763474929394,0.002106007380311119,0.0631405012337826
-0.4008016032064127,6.112749277958718e-05,0.08063554497717049,0.0020027097368916016,0.06548268603275817
-0.36873747494990006,8.297325143535048e-05,0.08367789339110066,0.0019124405416104816,0.06771537895588661
-0.33667334669338733,0.000108095596554991,0.08658225641226092,0.0018344013926481324,0.06982072330899115
-0.3046092184368746,0.00013657081980762646,0.08932669860545193,0.0017678934301738939,0.07178140926956042
-0.27254509018036077,0.00016853541765316624,0.09189004795325484,0.0017123201260906362,0.07358090260310429
-0.2404809619238481,0.00020419511061838653,0.0942521675751272,0.0016671896698596189,0.0752036684610273
-0.20841683366733538,0.0002438342564610607,0.096394219127559,0.0016321172236639647,0.07663538617227242
-0.17635270541082157,0.0002878257800816733,0.09829891317973734,0.0016068273009530564,0.07786315102847223
-0.14428857715430884,0.00033664175738721977,0.09995074202148276,0.0015911565003896842,0.0788756592416971
-0.11222444889779615,0.0003908647960663303,0.10133619062438354,0.0015850568029084227,0.07966337252227244
-0.08016032064128345,0.0004512003516382731,0.10244392183834307,0.0015885996131801618,0.08021865907630502
-0.04809619238476962,0.00051849010068758,0.10326493235682085,0.001601980698147315,0.0805359082509464
-0.016032064128256918,0.0005937264637407817,0.10379267651521623,0.0016255261440534393,0.08061161655038915
0.016032064128255787,0.0006780683270708758,0.1040231555862306,0.0016596994189332398,0.08044444329560828
0.04809619238476962,0.0007728579556349778,0.10395497088998472,0.00170510958910846,0.08003523479289613
0.08016032064128233,0.0008796390187473098,0.10358933972997111,0.0017625206950679648,0.07938701649604311
0.11222444889779502,0.001000175566976627,0.10293007388235718,0.001832862243478115,0.07850495327959611
0.14428857715430773,0.0011364717047981847,0.10198352108882744,0.0019172407174320306,0.07739627857058967
0.17635270541082157,0.0012907916010425186,0.10075847071503788,0.002016951946150762,0.07607019369820849
0.20841683366733427,0.0014656793711113165,0.099266025421046,0.0021334941083299037,0.07453773940019691
0.24048096192384696,0.0016639782547960896,0.09751944133078866,0.0022685810707886206,0.07281164195761386
0.27254509018036077,0.001888848405358536,0.0955339397699435,0.002424155687165913,0.07090613690317045
0.3046092184368735,0.002143782503727636,0.09332649415205307,0.0026024026018339435,0.06883677365196454
0.3366733466933862,0.002432618320918789,0.09091559602027408,0.002805760024249355,0.06662020472797885
0.3687374749498989,0.002759547276884538,0.08832100458741492,0.003036929861477632,0.06427396349844477
0.4008016032064127,0.003129117989715836,0.0855634843533473,0.0032988855249229047,0.061816234476642806
0.43286573146292545,0.003546233779953381,0.08266453551237732,0.003594876665085193,0.059265620309933084
0.4649298597194381,0.004016143094858008,0.0796461218923035,0.003928430039414268,0.056640909534212504
0.49699398797595196,0.0045444218503515816,0.07653040109302146,0.004303345687100745,0.053960849051468605
0.5290581162324647,0.005136946756733805,0.07333946131951274,0.00472368757493201,0.05124392507877511
0.5611222444889774,0.005799858800031709,0.07009506913826208,0.00519376789385891,0.048508156032176036
0.59318637274549,0.006539516194703948,0.06681843203620387,0.005718124229915662,0.045770900456526514
0.6252505010020039,0.0073624363049717215,0.06352997923773115,0.0063014889081839725,0.043048682703069406
0.6573146292585166,0.00827522624958894,0.06024916375034581,0.006948749916307333,0.04035703860216469
0.6893787575150293,0.009284502155391073,0.05699428807662682,0.007664902955331459,0.037710382891752055
0.7214428857715431,0.010396797304165773,0.053782355463664895,0.008454994339894549,0.035121899655911344
0.7535070140280559,0.011618459719691753,0.0506289479757248,0.009324054675274442,0.032603456515399455
0.7855711422845686,0.012955540060445801,0.047548132086436545,0.010277023472457805,0.03016554280611309
0.8176352705410812,0.014413671010687792,0.044552391907692,0.011318665119831399,0.0278172314941729
0.849699398797595,0.015997939689751484,0.041652589617261905,0.012453476905640146,0.0255661641188889
0.8817635270541078,0.017712754917092934,0.03885795212846881,0.013685590072149985,0.02341855763709778
0.9138276553106205,0.019561711469291452,0.03617608257410844,0.015018665172615719,0.021379231672598878
0.9458917835671343,0.021547453734949932,0.03361299476260858,0.016455783286978987,0.019451654359316964
0.977955911823647,0.023671541404683544,0.031173168414600307,0.017999334922433687,0.01763800471121303
1.0100200400801598,0.02593432001698632,0.028859622708119294,0.019650908671034355,0.015939249258845014
1.0420841683366724,0.028334799308387223,0.02667400545388075,0.021411181908859735,0.01435523056296461
1.0741482965931863,0.03087054238072552,0.024616695089697358,0.023279815990720005,0.012884765148940717
1.106212424849699,0.033537568693728155,0.022686912624290734,0.025255358512562807,0.011525748399776485
1.1382765531062116,0.03633027381313159,0.020882840672697266,0.02733515527317917,0.010275263996152698
1.1703406813627255,0.03924136869095646,0.01920174680360414,0.029515274561490404,0.009129695594090556
1.2024048096192381,0.042261841024825116,0.017640108557138226,0.03179044632119881,0.008084838578206402
1.234468937875751,0.04538094093909612,0.01619373768241984,0.034154018598386925,0.007136009914024204
1.2665330661322636,0.04858619285593276,0.014857901379096965,0.036597933459274055,0.006278154338753238
1.2985971943887775,0.051863434985190124,0.013627438596888778,0.03911272427652414,0.005505945368369541
1.3306613226452901,0.055196887366214656,0.012496869742252606,0.04168753592718752,0.004813879851778207
1.3627254509018027,0.058569248852201196,0.011460498451904104,0.04431016902973238,0.00419636506250531
1.3947895791583167,0.061961822850222545,0.01051250440950526,0.04696714887995366,0.0036477975774497438
1.4268537074148293,0.0653546710304262,0.009647026495280856,0.0496438192360714,0.0031626334440135145
1.4589178356713421,0.06872679361023726,0.008858235860242735,0.05232446056394987,0.0027354493755215137
1.4909819639278548,0.072056334218496,0.008140398799609733,0.054992431797379615,0.002360994935237533
1.5230460921843687,0.07532080676539828,0.007487929557529013,0.05763033411008055,0.0020342358674735007
1.5551102204408813,0.07849734120188967,0.006895433422164499,0.06022019465039591,0.0017503889072895242
1.587174348697394,0.08156294456124868,0.00635774066276182,0.06274366767163593,0.0015049485461374002
1.6192384769539079,0.08449477324953567,0.005869932015904836,0.06518225001543901,0.001293706348543774
1.6513026052104205,0.08727041220252084,0.0054273565456540145,0.0675175074863523,0.0011127635045164886
1.6833667334669333,0.08986815626512448,0.005025642781693039,0.0697313083058653,0.0009585373645733606
1.715430861723446,0.09226728898369158,0.0046607040822845445,0.07180605956449854,0.0008277627406315438
1.74749498997996,0.09444835393767423,0.004328739177090418,0.07372494241040425,0.000717488768532038
1.7795591182364725,0.09639341377907135,0.004026228822008546,0.075472141629072,0.000625072119226343
1.8116232464929851,0.09808629229614445,0.0037499294481123315,0.07703306528539816,0.0005481673184374616
1.843687374749499,0.09951279507064982,0.003496864614112321,0.07839455021805619,0.00048471489190915474
1.8757515030060117,0.10066090465053251,0.0032643149814059976,0.07954504939547415,0.000432927998194767
1.9078156312625245,0.10152094660551604,0.0030498074278343936,0.08047479745861122,0.0003912781462574125
1.9398797595190371,0.10208572336165046,0.0028511038057940355,0.08117595118124607,0.00035848052373307627
1.9719438877755509,0.10235061331080406,0.002666189737243739,0.08164270206418596,0.00033347938608161104
2.0040080160320635,0.10231363334853522,0.0024932637269362186,0.08187135883397316,0.0003154338792575124
2.0360721442885765,0.10197546369349576,0.0023307267699548867,0.08186039822554994,0.00030370459088652885
2.06813627254509,0.10133943456706554,0.0021771725338231985,0.08161048307675176,0.00029784104881712983
2.100200400801603,0.10041147504626075,0.0020313781118871375,0.08112444743401315,0.00029757031258536464
2.1322645290581157,0.0992000251287607,0.0018922952754492073,0.08040724904629055,0.00030278673375058995
2.1643286573146283,0.09771591274916294,0.0017590420986147357,0.07946589029079679,0.0003135428959356614
2.196392785571141,0.09597219814398648,0.0016308947926296899,0.07830930921290755,0.00033004168524162765
