phi,integrand
7.647294589178357,-2.726782166707236e-06
7.6793587174348685,-2.8261559802978436e-06
7.7114228456913825,-2.927661282102181e-06
7.743486973947896,-3.030004630960081e-06
7.775551102204408,-3.1315501208884886e-06
7.807615230460922,-3.2303838544340846e-06
7.839679358717433,-3.324388574933515e-06
7.871743486973947,-3.4113252472350072e-06
7.903807615230461,-3.488918672006615e-06
7.935871743486972,-3.5549432907411692e-06
7.967935871743486,-3.6073064838263807e-06
8.0,-3.6441259728587548e-06
